127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/3 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/2 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/4 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/6 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/5 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/7 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/8 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/10 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /Royal/student/9 HTTP/1.1" 500 17113
127.0.0.1 - - [24/Feb/2025:00:05:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Feb/2025:00:06:30 +0530] "GET /Royal/ HTTP/1.1" 500 17098
127.0.0.1 - - [24/Feb/2025:00:06:40 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [24/Feb/2025:00:06:50 +0530] "GET /Royal/ HTTP/1.1" 200 3170
127.0.0.1 - - [24/Feb/2025:00:06:53 +0530] "GET /Royal/department HTTP/1.1" 200 3283
127.0.0.1 - - [24/Feb/2025:00:06:56 +0530] "GET /Royal/department/Computer%20Science%20Engineering HTTP/1.1" 200 6421
127.0.0.1 - - [24/Feb/2025:00:06:56 +0530] "GET /Royal/teacher/1 HTTP/1.1" 200 23708
127.0.0.1 - - [24/Feb/2025:00:06:56 +0530] "GET /Royal/teacher/2 HTTP/1.1" 200 2957428
127.0.0.1 - - [24/Feb/2025:00:06:58 +0530] "GET /Royal/department/Computer%20Science%20Engineering HTTP/1.1" 200 6421
127.0.0.1 - - [24/Feb/2025:00:06:59 +0530] "GET /Royal/teacher/1 HTTP/1.1" 200 23708
127.0.0.1 - - [24/Feb/2025:00:06:59 +0530] "GET /Royal/teacher/2 HTTP/1.1" 200 2957428
127.0.0.1 - - [24/Feb/2025:00:07:02 +0530] "GET /Royal/Computer%20Science%20Engineering/batch/CS1 HTTP/1.1" 200 9389
127.0.0.1 - - [24/Feb/2025:00:07:03 +0530] "GET /Royal/student/1 HTTP/1.1" 200 164895
127.0.0.1 - - [24/Feb/2025:00:07:03 +0530] "GET /Royal/student/6 HTTP/1.1" 200 205633
